,Sample ID,comments 1,comments 2,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,Sampling Location (Cambridgesamples),Continent,Language,Latitude,Longitude,source,chip,wikidata,uncertaintu
623,Pole_Poland3,,,Poles,Poles,,,Poland,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
624,Pole_Poland5,,,Poles,Poles,,,Poland,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
625,Pole_Poland6,,,Poles,Poles,,,Poland,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
626,Pole_Poland9,,,Poles,Poles,,,Poland,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
627,Pole_Poland11,,,Poles,Poles,,,Poland,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
628,pole12p_1m,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,1M,,
629,Poland132,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
630,Poland133,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
631,Poland138,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
632,Poland140,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
633,Poland141,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
634,Poland142,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
635,Poland143,,,Poles,Poles,,,Estonia,,Europe,Indo-European/Slavic/West,,,Behar et al 2013 Khazar,660k,,
636,Ukraine130,,,Ukranians,Ukranians,,Svetlovodsk(central Ukr),Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
637,Ukraine133,,,Ukranians,Ukranians,,Kharkov,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
638,Ukraine136,,,Ukranians,Ukranians,,Poltava,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
639,Ukraine141,,,Ukranians,Ukranians,,Poltava,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
640,Ukraine94,,,Ukranians,Ukranians,,Poltava,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
641,Ukraine97,,,Ukranians,Ukranians,,Kharkov,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
642,UkrainePol19,,,Ukranians,Ukranians,,Poltava,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
643,UkrainePol25,,,Ukranians,Ukranians,,Poltava,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
644,UkrBel614,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
645,UkrBel618,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
646,UkrBel620,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
647,UkrBel622,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
648,UkrBel733,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
649,UkrBel736,,,Ukranians,Ukranians,,Belgorod,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
650,UkrLv215,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
651,UkrLv223,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
652,UkrLv226,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
653,UkrLv228,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
654,UkrLv237,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
655,UkrLv240,,,Ukranians,Ukranians,,Lviv,Ukraine,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2012,660k,,
656,belorus1,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
657,belorus10,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
658,belorus2,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
659,belorus3,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
660,belorus4,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
661,belorus5,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
662,belorus6,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
663,belorus7,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
664,belorus8,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,610k,,
665,belorus9,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,610k,,
666,belarusian23vp,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
667,belarusian52vp,identical to belorus52vp_1m,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
668,belarusian50vp,identical to belorus50vp_1m,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
669,belarusian54zp,identical to belorus54zp_1m,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
670,belarusian47zp,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
671,belarusian29zp,,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
672,belarusian32zp,identical to belorus32zp_1m,,Belarusians,Belarusians,,,Belarusia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,660k,,
673,RussianVoron103,,,Russians,Russians_Southern,Voronez,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
674,RussianVoron105,,,Russians,Russians_Southern,Voronez,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
675,RussianVoron107,,,Russians,Russians_Southern,Voronez,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
676,russianVoron101,,,Russians,Russians_Southern,Voronez,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
677,RussianKursk15,,,Russians,Russians_Southern,Kursk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
678,RussianKursk18,,,Russians,Russians_Southern,Kursk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
679,RussianKursk9,,,Russians,Russians_Southern,Kursk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
680,russianKursk6,,,Russians,Russians_Southern,Kursk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
681,RussianOrjol34,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
682,RussianOrjol45,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
683,russianOrjol1,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
684,russianOrjol56,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
685,russianOrjol78,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
686,russianOrjol89,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
687,russianOrjol100,,,Russians,Russians_Southern,Orjol,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
688,Russia_Smol349,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
689,Russia_Smol303,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
690,Russia_Smol304,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
691,Russia_Smol339,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
692,Russia_Smol345,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
693,Russia_Smol350,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
694,Russia_Smol312,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
695,SM256_russian_Smolensk,,,Russians,Russians,Smolensk,,Russia,,Europe,Indo-European/Slavic/East,,,Behar et al 2013 Khazar,1M,,
696,evo_1,,,Russians,Russians,Central Russia,,Estonia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,650k,,
697,Russia_Tver418,,,Russians,Russians,Tver,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
698,Russia_Tver472,,,Russians,Russians,Tver,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
699,Russia_Tver442,,,Russians,Russians,Tver,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
700,Russia_Tver415,,,Russians,Russians,Tver,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
701,RusArch305,,,Russians,Russians_North,Arhangelsk,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
702,evo_2,,,Russians,Russians_North,North Russia,,Estonia,,Europe,Indo-European/Slavic/East,,,Behar et al 2010,650k,,
703,Russia_Kostr120,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
704,Russia_Kostr151,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
705,Russia_Kostr138,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
706,Russia_Kostr170,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
707,Russia_Kostr128,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
708,Russia_Kostr149,,,Russians,Russians,Kostroma,,Russia,,Europe,Indo-European/Slavic/East,,,Yunusbayev et al 2015,660k,,
709,lithuania1,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
710,lithuania10,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
711,lithuania2,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
712,lithuania3,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
713,lithuania4,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
714,lithuania5,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
715,lithuania6,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
716,lithuania7,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
717,lithuania8,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
718,lithuania9,,,Lithuanians,Lithuanians,,,Lithuania,,Europe,Indo-European/Baltic,,,Behar et al 2010,610k,,
719,a39,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,610k,,
720,ee1,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
721,ee105,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
722,ee108,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
723,ee111,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
724,ee114,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
725,ee136,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
726,ee14,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
727,ee140,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
728,ee144,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
729,ee147,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
730,ee149,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
731,ee45,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
732,ee50,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
733,ee53,,,Estonians,Estonians,,,Estonia,,Europe,Uralic/Finno-Ugric/Finnic,,,Raghavan et al 2013,650k,,
734,karelia1,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
735,karelia10,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
736,karelia11,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
737,karelia12,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
738,karelia13,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
739,karelia14,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
740,karelia15,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
741,karelia2,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
742,karelia3,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
743,karelia4,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
744,karelia5,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
745,karelia6,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
746,karelia7,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
747,karelia8,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
748,karelia9,,,Karelian,Karelian,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,610k,,
749,Sweden1,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
750,Sweden10,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
751,Sweden11,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
752,Sweden12,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
753,Sweden13,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
754,Sweden15,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
755,Sweden16,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
756,Sweden17,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
757,Sweden18,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
758,Sweden2,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
759,Sweden20,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
760,Sweden3,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
761,Sweden4,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
762,Sweden5,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
763,Sweden6,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
764,Sweden7,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
765,Sweden8,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
766,Sweden9,,,Swedes,Swedes,,,Sweden,,Europe,Indo-European/Germanic,,,Behar et al 2013 Khazar,610k,,
767,saami1,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
768,saami10,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
769,saami11,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
770,saami12,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
771,saami13,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
772,saami14,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
773,saami15,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
774,saami2,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
775,saami3,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
776,saami4,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
777,saami5,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
778,saami6,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
779,saami7,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
780,saami8,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
781,saami9,,,Saami,Saami_SWE,,Norrbotten,Sweden,,Europe,Uralic/Finno-Ugric/Finnic,,,Skoglund et al 2014,610k,,
782,vepsa1,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
783,vepsa10,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
784,vepsa19,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
785,vepsa25,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
786,vepsa28,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
787,vepsa34,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
788,vepsa46,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
789,vepsa55,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
790,vepsa59,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
791,vepsa61,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
792,vepsa64,,,Vepsas,Vepsas,,,Russia,,Europe,Uralic/Finno-Ugric/Finnic,,,Yunusbayev et al 2015,660k,,
793,mari1,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
794,mari10,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
795,mari11,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
796,mari12,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
797,mari13,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
798,mari14,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
799,mari15,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
800,mari2,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
801,mari3,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
802,mari4,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
803,mari5,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
804,mari6,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
805,mari7,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
806,mari8,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
807,mari9,,,Maris,Maris,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Raghavan et al 2013,610k,,
808,mordovia1,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
809,mordovia10,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
810,mordovia11,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
811,mordovia12,,,Mordovians,Moksha,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
812,mordovia13,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
813,mordovia14,,,Mordovians,Mordva_mix,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
814,mordovia15,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
815,mordovia2,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
816,mordovia3,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
817,mordovia4,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
818,mordovia5,,,Mordovians,Moksha,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
819,mordovia6,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
820,mordovia7,,,Mordovians,Erza,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
821,mordovia8,,,Mordovians,Moksha,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
822,mordovia9,,,Mordovians,Moksha,,Mordovia,Russia,,Europe,Uralic/Finno-Ugric,,,Yunusbayev et al 2012,610k,,
823,komi1,,,Komis,Komis_Permic,,,Russia,,Europe,Uralic/Finno-Ugric/Volgaic,,,Yunusbayev et al 2015,610k,,
